Domain,Area,Element,Item,Year,Unit,Value,Note,source_file
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2015,t,1201922.0,,2015_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2016,t,1194180.34,,2016_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2017,t,1428434.0,,2017_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2018,t,1096930.0,,2018_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2019,t,1197489.0,,2019_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2020,t,1272532.84,,2020_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2021,t,1287000.0,,2021_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2022,t,1269000.0,,2022_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2023,t,1484000.0,,2023_beans.csv
Crops and livestock products,United Republic of Tanzania,Production,"Beans, dry",2024,t,1463819.48,,2024_beans.csv
